title,genre,runtime
Filly Brown,Drama,80
The Dish,Drama,101
Waiting for Guffman,Comedy,84
The Age of Innocence,Drama,139
Malevolence,Horror,90
Old Partner,Documentary,78
Lady Jane,Drama,142
Mad Dog Time,Drama,93
Beauty Is Embarrassing,Documentary,88
The Snowtown Murders,Drama,119
Superman II,Action & Adventure,127
Leap of Faith,Drama,108
The Royal Tenenbaums,Comedy,110
School for Scoundrels,Comedy,100
Rhinestone,Comedy,111
Burn After Reading,Drama,96
The Doors,Drama,140
The Wood,Drama,106
Jason X,Horror,91
Dragon Wars,Drama,90
Fallen,Drama,124
The Gleaners and I,Documentary,82
Tamara Drewe,Drama,107
Not Without My Daughter,Drama,116
The Yes Men Fix the World,Documentary,87
"Oh, God! You Devil",Comedy,97
Meet Joe Black,Drama,178
The Bay,Horror,84
Scandal,Art House & International,115
Imagine: John Lennon,Musical & Performing Arts,100
Locke,Mystery & Suspense,85
The Spongebob Squarepants Movie,Animation,87
The Muppet Christmas Carol,Science Fiction & Fantasy,85
Die Hard 2,Mystery & Suspense,124
The Reckoning,Documentary,112
Alice in Wonderland,Action & Adventure,108
I'm Not There,Drama,135
Three Wishes,Drama,115
Aliens,Action & Adventure,137
Driving Miss Daisy,Drama,99
Max,Drama,106
Serpico,Drama,130
Basic,Drama,98
The Guru,Comedy,94
The Color Purple,Drama,154
The Dream Team,Comedy,113
The Man Without a Face,Drama,115
The White Countess,Drama,135
Viva Knievel!,Drama,106
Rising Sun,Drama,125
Mojados: Through the Night,Documentary,65
Seven Pounds,Drama,123
The Mothman Prophecies,Mystery & Suspense,119
Breaking and Entering,Drama,120
The English Patient,Drama,162
Heaven & Earth,Drama,140
The Last Kiss,Drama,115
Three of Hearts,Drama,102
The Tortured,Mystery & Suspense,79
The Package,Mystery & Suspense,108
"Happy, Texas",Comedy,98
Then She Found Me,Drama,100
Promises,Documentary,106
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,92
The Recruit,Mystery & Suspense,115
Alvin and the Chipmunks: Chipwrecked,Animation,87
The Thin Blue Line,Documentary,103
The Cotton Club,Musical & Performing Arts,127
Lord of the Flies,Drama,90
"Same Time, Next Year",Drama,119
Proof of Life,Drama,135
Waking Up in Reno,Comedy,91
Silent Fall,Mystery & Suspense,101
Rock 'n' Roll High School,Comedy,93
Twilight Zone---The Movie,Horror,101
The Golden Bowl,Drama,130
Rio 2,Animation,101
Easy,Drama,99
Major League: Back to the Minors,Comedy,100
The Wedding Banquet (Xi yan),Drama,106
Gotti,Drama,116
Strange Brew,Comedy,90
Robocop 2,Action & Adventure,117
Riders (Steal),Action & Adventure,83
Warrior,Drama,140
Percy Jackson: Sea of Monsters,Drama,106
Visioneers,Drama,94
Bats,Drama,91
The Brother from Another Planet,Drama,108
Blame It on Rio,Comedy,100
North Face (Nordwand),Drama,126
Predator,Action & Adventure,107
The Reef,Mystery & Suspense,94
Dirty Sanchez: The Movie,Comedy,94
Shakedown,Drama,97
The Principal,Drama,109
A New Life,Drama,104
Arlington Road,Mystery & Suspense,117
